t,addresses/count,addresses/sending_count,addresses/receiving_count,addresses/active_count,addresses/new_non_zero_count,transactions/count,transactions/rate,transactions/transfers_volume_sum,transactions/transfers_volume_mean,transactions/transfers_volume_median,fees/volume_sum,fees/volume_mean,fees/volume_median,blockchain/utxo_created_count,blockchain/utxo_spent_count,blockchain/utxo_created_value_sum,blockchain/utxo_spent_value_sum,blockchain/utxo_created_value_mean,blockchain/utxo_spent_value_mean,blockchain/utxo_created_value_median,blockchain/utxo_spent_value_median
2009-01-03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0
2009-01-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-09,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,700.0,0.0,50.0,0.0,50.0,0.0
2009-01-10,76.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,3050.0,0.0,50.0,0.0,50.0,0.0
2009-01-11,169.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,4650.0,0.0,50.0,0.0,50.0,0.0
2009-01-12,270.0,3.0,8.0,8.0,101.0,7.0,8.101851851800001e-05,179.0,25.5714285714286,29.0,0.0,0.0,0.0,106.0,7.0,4879.0,179.0,46.0283018867924,25.5714285714286,50.0,29.0
2009-01-13,393.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,6150.0,0.0,50.0,0.0,50.0,0.0
2009-01-14,523.0,3.0,1.0,4.0,130.0,1.0,1.1574074074e-05,61.0,61.0,61.0,0.0,0.0,0.0,130.0,3.0,6511.0,61.0,50.0846153846154,20.3333333333333,50.0,10.0
2009-01-15,655.0,11.0,8.0,14.0,132.0,8.0,9.2592592592e-05,500.0,62.5,25.0,0.0,0.0,0.0,140.0,15.0,6800.0,500.0,48.5714285714286,33.3333333333333,50.0,50.0
2009-01-16,765.0,4.0,2.0,6.0,110.0,2.0,2.3148148148e-05,200.0,100.0,100.0,0.0,0.0,0.0,110.0,4.0,5600.0,200.0,50.9090909090909,50.0,50.0,50.0
2009-01-17,874.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,5450.0,0.0,50.0,0.0,50.0,0.0
2009-01-18,982.0,3.0,1.0,4.0,108.0,1.0,1.1574074074e-05,150.0,150.0,150.0,0.0,0.0,0.0,108.0,3.0,5500.0,150.0,50.9259259259259,50.0,50.0,50.0
2009-01-19,1098.0,16.0,2.0,18.0,116.0,2.0,2.3148148148e-05,775.0,387.5,275.0,0.0,0.0,0.0,117.0,16.0,6525.0,775.0,55.7692307692308,48.4375,50.0,50.0
2009-01-20,1213.0,8.0,1.0,9.0,115.0,1.0,1.1574074074e-05,400.0,400.0,400.0,0.0,0.0,0.0,115.0,8.0,6100.0,400.0,53.0434782608695,50.0,50.0,50.0
2009-01-21,1316.0,2.0,1.0,3.0,103.0,1.0,1.1574074074e-05,100.0,100.0,100.0,0.0,0.0,0.0,103.0,2.0,5200.0,100.0,50.4854368932039,50.0,50.0,50.0
2009-01-22,1407.0,10.0,1.0,11.0,91.0,1.0,1.1574074074e-05,500.0,500.0,500.0,0.0,0.0,0.0,92.0,10.0,5050.0,500.0,54.8913043478261,50.0,50.0,50.0
2009-01-23,1492.0,9.0,2.0,11.0,85.0,2.0,2.3148148148e-05,450.0,225.0,150.0,0.0,0.0,0.0,86.0,9.0,4650.0,450.0,54.0697674418605,50.0,50.0,50.0
2009-01-24,1694.0,10.0,1.0,11.0,202.0,1.0,1.1574074074e-05,500.0,500.0,500.0,0.0,0.0,0.0,202.0,10.0,10550.0,500.0,52.2277227722773,50.0,50.0,50.0
2009-01-25,1886.0,1.0,1.0,2.0,192.0,1.0,1.1574074074e-05,50.0,50.0,50.0,0.0,0.0,0.0,192.0,1.0,9600.0,50.0,50.0,50.0,50.0,50.0
2009-01-26,1982.0,20.0,1.0,21.0,96.0,1.0,1.1574074074e-05,1000.0,1000.0,1000.0,0.0,0.0,0.0,97.0,20.0,5800.0,1000.0,59.7938144329897,50.0,50.0,50.0
2009-01-27,2080.0,3.0,1.0,4.0,98.0,1.0,1.1574074074e-05,150.0,150.0,150.0,0.0,0.0,0.0,98.0,3.0,5000.0,150.0,51.0204081632653,50.0,50.0,50.0
2009-01-28,2192.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,5600.0,0.0,50.0,0.0,50.0,0.0
2009-01-29,2313.0,12.0,1.0,13.0,121.0,1.0,1.1574074074e-05,600.0,600.0,600.0,0.0,0.0,0.0,122.0,12.0,6650.0,600.0,54.5081967213115,50.0,50.0,50.0
2009-01-30,2430.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,5850.0,0.0,50.0,0.0,50.0,0.0
2009-01-31,2569.0,20.0,1.0,21.0,139.0,1.0,1.1574074074e-05,1000.0,1000.0,1000.0,0.0,0.0,0.0,139.0,20.0,7900.0,1000.0,56.834532374100704,50.0,50.0,50.0
2009-02-01,2683.0,2.0,1.0,3.0,114.0,1.0,1.1574074074e-05,100.0,100.0,100.0,0.0,0.0,0.0,114.0,2.0,5750.0,100.0,50.4385964912281,50.0,50.0,50.0
2009-02-02,2812.0,1.0,1.0,2.0,129.0,1.0,1.1574074074e-05,50.0,50.0,50.0,0.0,0.0,0.0,129.0,1.0,6450.0,50.0,50.0,50.0,50.0,50.0
2009-02-03,2961.0,5.0,14.0,15.0,149.0,16.0,0.00018518518518500002,734.51,45.906875,49.97,2.01,0.125625,0.0,169.0,18.0,7686.52,736.52,45.4823668639053,40.9177777777778,50.0,49.96
2009-02-04,3080.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,5950.0,0.0,50.0,0.0,50.0,0.0
2009-02-05,3206.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,6300.0,0.0,50.0,0.0,50.0,0.0
2009-02-06,3328.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,6100.0,0.0,50.0,0.0,50.0,0.0
2009-02-07,3461.0,23.0,5.0,27.0,133.0,4.0,4.6296296296e-05,1198.0,299.5,150.0,0.0,0.0,0.0,134.0,24.0,7648.0,1198.0,57.0746268656717,49.9166666666667,50.0,50.0
2009-02-08,3594.0,1.0,1.0,2.0,133.0,1.0,1.1574074074e-05,1000.0,1000.0,1000.0,0.0,0.0,0.0,133.0,1.0,7600.0,1000.0,57.1428571428571,1000.0,50.0,1000.0
2009-02-09,3728.0,44.0,1.0,45.0,134.0,1.0,1.1574074074e-05,2200.0,2200.0,2200.0,0.0,0.0,0.0,135.0,44.0,8900.0,2200.0,65.9259259259259,50.0,50.0,50.0
2009-02-10,3848.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,6000.0,0.0,50.0,0.0,50.0,0.0
2009-02-11,3983.0,14.0,2.0,16.0,135.0,2.0,2.3148148148e-05,550.04,275.02,200.0,0.0,0.0,0.0,135.0,14.0,7200.04,550.04,53.3336296296296,39.2885714285714,50.0,50.0
2009-02-12,4102.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,5950.0,0.0,50.0,0.0,50.0,0.0
2009-02-13,4226.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,6200.0,0.0,50.0,0.0,50.0,0.0
2009-02-14,4362.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,6800.0,0.0,50.0,0.0,50.0,0.0
2009-02-15,4493.0,13.0,3.0,14.0,131.0,3.0,3.4722222222e-05,900.0,300.0,250.0,0.0,0.0,0.0,131.0,13.0,7300.0,900.0,55.7251908396947,69.2307692307692,50.0,50.0
2009-02-16,4615.0,30.0,1.0,31.0,122.0,1.0,1.1574074074e-05,1500.0,1500.0,1500.0,0.0,0.0,0.0,123.0,30.0,7600.0,1500.0,61.7886178861789,50.0,50.0,50.0
2009-02-17,4732.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,5850.0,0.0,50.0,0.0,50.0,0.0
2009-02-18,4850.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,5900.0,0.0,50.0,0.0,50.0,0.0
2009-02-19,4974.0,16.0,1.0,17.0,124.0,1.0,1.1574074074e-05,800.0,800.0,800.0,0.0,0.0,0.0,125.0,16.0,7000.0,800.0,56.0,50.0,50.0,50.0
2009-02-20,5096.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,6100.0,0.0,50.0,0.0,50.0,0.0
2009-02-21,5210.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,5700.0,0.0,50.0,0.0,50.0,0.0
2009-02-22,5335.0,11.0,4.0,12.0,125.0,4.0,4.6296296296e-05,1050.0,262.5,200.0,0.0,0.0,0.0,125.0,11.0,7100.0,1050.0,56.8,95.4545454545455,50.0,50.0
2009-02-23,5443.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,5400.0,0.0,50.0,0.0,50.0,0.0
2009-02-24,5549.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,5300.0,0.0,50.0,0.0,50.0,0.0
2009-02-25,5654.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,5250.0,0.0,50.0,0.0,50.0,0.0
2009-02-26,5761.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,5350.0,0.0,50.0,0.0,50.0,0.0
2009-02-27,5876.0,36.0,1.0,37.0,115.0,1.0,1.1574074074e-05,1800.0,1800.0,1800.0,0.0,0.0,0.0,116.0,36.0,7550.0,1800.0,65.0862068965517,50.0,50.0,50.0
2009-02-28,5975.0,7.0,1.0,8.0,99.0,1.0,1.1574074074e-05,350.0,350.0,350.0,0.0,0.0,0.0,100.0,7.0,5300.0,350.0,53.0,50.0,50.0,50.0
2009-03-01,6080.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,5250.0,0.0,50.0,0.0,50.0,0.0
2009-03-02,6188.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,5400.0,0.0,50.0,0.0,50.0,0.0
2009-03-03,6293.0,8.0,1.0,9.0,105.0,2.0,2.3148148148e-05,400.0,200.0,150.0,0.0,0.0,0.0,107.0,8.0,5650.0,400.0,52.803738317757,50.0,50.0,50.0
2009-03-04,6397.0,25.0,2.0,26.0,104.0,2.0,2.3148148148e-05,1250.0,625.0,50.0,0.0,0.0,0.0,107.0,25.0,6450.0,1250.0,60.2803738317757,50.0,50.0,50.0
2009-03-05,6509.0,8.0,1.0,9.0,112.0,1.0,1.1574074074e-05,400.0,400.0,400.0,0.0,0.0,0.0,113.0,8.0,6000.0,400.0,53.0973451327433,50.0,50.0,50.0
2009-03-06,6626.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,5850.0,0.0,50.0,0.0,50.0,0.0
2009-03-07,6735.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,5450.0,0.0,50.0,0.0,50.0,0.0
2009-03-08,6852.0,26.0,3.0,27.0,117.0,3.0,3.4722222222e-05,1550.0,516.666666666667,300.0,0.0,0.0,0.0,118.0,26.0,7300.0,1550.0,61.864406779661,59.6153846153846,50.0,50.0
2009-03-09,6960.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,5400.0,0.0,50.0,0.0,50.0,0.0
2009-03-10,7067.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,5350.0,0.0,50.0,0.0,50.0,0.0
2009-03-11,7181.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,5700.0,0.0,50.0,0.0,50.0,0.0
2009-03-12,7300.0,3.0,1.0,4.0,119.0,1.0,1.1574074074e-05,150.0,150.0,150.0,0.0,0.0,0.0,119.0,3.0,6050.0,150.0,50.8403361344538,50.0,50.0,50.0
2009-03-13,7413.0,13.0,1.0,14.0,113.0,1.0,1.1574074074e-05,750.0,750.0,750.0,0.0,0.0,0.0,114.0,13.0,6400.0,750.0,56.140350877193,57.6923076923077,50.0,50.0
2009-03-14,7523.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,5500.0,0.0,50.0,0.0,50.0,0.0
2009-03-15,7646.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,6150.0,0.0,50.0,0.0,50.0,0.0
2009-03-16,7767.0,48.0,1.0,49.0,121.0,1.0,1.1574074074e-05,2400.0,2400.0,2400.0,0.0,0.0,0.0,122.0,48.0,8450.0,2400.0,69.2622950819672,50.0,50.0,50.0
2009-03-17,7881.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,5700.0,0.0,50.0,0.0,50.0,0.0
2009-03-18,7995.0,14.0,1.0,15.0,114.0,2.0,2.3148148148e-05,700.0,350.0,150.0,0.0,0.0,0.0,116.0,14.0,6400.0,700.0,55.1724137931035,50.0,50.0,50.0
2009-03-19,8117.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,6100.0,0.0,50.0,0.0,50.0,0.0
2009-03-20,8235.0,12.0,1.0,13.0,118.0,1.0,1.1574074074e-05,600.0,600.0,600.0,0.0,0.0,0.0,119.0,12.0,6500.0,600.0,54.6218487394958,50.0,50.0,50.0
2009-03-21,8285.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,2500.0,0.0,50.0,0.0,50.0,0.0
2009-03-22,8404.0,11.0,1.0,12.0,119.0,2.0,2.3148148148e-05,550.0,275.0,250.0,0.0,0.0,0.0,121.0,11.0,6500.0,550.0,53.7190082644628,50.0,50.0,50.0
2009-03-23,8534.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,6500.0,0.0,50.0,0.0,50.0,0.0
2009-03-24,8639.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,5250.0,0.0,50.0,0.0,50.0,0.0
2009-03-25,8756.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,5850.0,0.0,50.0,0.0,50.0,0.0
2009-03-26,8873.0,28.0,1.0,29.0,117.0,1.0,1.1574074074e-05,1400.0,1400.0,1400.0,0.0,0.0,0.0,118.0,28.0,7250.0,1400.0,61.4406779661017,50.0,50.0,50.0
2009-03-27,8979.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,5300.0,0.0,50.0,0.0,50.0,0.0
2009-03-28,9098.0,20.0,1.0,21.0,119.0,3.0,3.4722222222e-05,1000.0,333.333333333333,150.0,0.0,0.0,0.0,122.0,20.0,6950.0,1000.0,56.9672131147541,50.0,50.0,50.0
