date,Twitter Sentiment score
06/04/22,0.31
05/04/22,0.43
04/04/22,0.32
03/04/22,0.136363636
02/04/22,0.4
01/04/22,0.468181818
31/03/22,0.75
30/03/22,0.2
29/03/22,0.66
28/03/22,0.625
27/03/22,0.136363636
26/03/22,0.1
25/03/22,0
24/03/22,0
23/03/22,0
22/03/22,0.16
21/03/22,0.318181818
20/03/22,0.0625
19/03/22,0.75
18/03/22,0
17/03/22,0
16/03/22,0.25
15/03/22,0
14/03/22,0
13/03/22,0.136363636
12/03/22,0.268181818
11/03/22,0.133928571
10/03/22,0
09/03/22,0.05
08/03/22,0
07/03/22,-0.25
06/03/22,0.75
05/03/22,0.5
04/03/22,0.0625
03/03/22,-0.1
02/03/22,0
01/03/22,0.05
28/02/22,0
27/02/22,0.4
26/02/22,-0.3
25/02/22,0
24/02/22,0
23/02/22,-0.15
22/02/22,0
21/02/22,0
20/02/22,0.0625
19/02/22,0.75
18/02/22,0.75
17/02/22,0.068181818
16/02/22,0
15/02/22,0
14/02/22,0
13/02/22,0
12/02/22,0
11/02/22,0.05
10/02/22,0.4
09/02/22,0
08/02/22,0.0625
07/02/22,-0.071428571
06/02/22,0
05/02/22,0
04/02/22,0
03/02/22,0
02/02/22,-0.071428571
01/02/22,0
31/01/22,0
30/01/22,0.0625
29/01/22,0
28/01/22,0
27/01/22,0
26/01/22,0.112121212
25/01/22,0
24/01/22,0
23/01/22,0.136363636
22/01/22,-0.155555556
21/01/22,0.525
20/01/22,0
19/01/22,0.75
18/01/22,0.7
17/01/22,0.286666667
16/01/22,0
15/01/22,0
14/01/22,0.0625
13/01/22,0.193181818
12/01/22,0
11/01/22,0.05
10/01/22,0
09/01/22,0.35
08/01/22,0
07/01/22,0.108333333
06/01/22,0.136363636
05/01/22,-0.015277778
04/01/22,0
03/01/22,0
02/01/22,0
01/01/22,0
31/12/21,-0.077777778
30/12/21,-0.05
29/12/21,0
28/12/21,0.05
27/12/21,0.15
26/12/21,0.027777778
25/12/21,0.193181818
24/12/21,0
23/12/21,0.025
22/12/21,0
