date,glassnode_f1,glassnode_f2,glassnode_f3,glassnode_f4,glassnode_f5
2020-01-01,5.1582775,12.8521805,18.814423,0.0,10.379363
2020-01-02,4.3004518,10.774682,13.848403,0.0,14.168247
2020-01-03,4.05194,9.483096,11.684012,0.0,15.4550295
2020-01-04,4.5074773,11.165746,15.611609,0.0,13.282855
2020-01-05,4.602642,11.701281,16.72187,0.0,13.204277
2020-01-06,4.0783505,9.27231,11.285369,0.0,14.83846
2020-01-07,3.9237127,9.904805,12.0823965,0.0,17.33582
2020-01-08,3.9552004,9.172988,10.808452,0.0,15.409714
2020-01-09,3.9309237,8.730116,10.903583,0.0,15.801257
2020-01-10,3.8559642,9.100617,11.098576,0.0,16.487679
2020-01-11,4.300737,10.749594,14.0994835,0.0,14.51254
2020-01-12,4.624954,11.59569,16.383625,0.0,12.676211
2020-01-13,4.2513943,10.204893,12.590989,0.0,14.000825
2020-01-14,3.870814,8.465707,11.266156,0.0,17.543667
2020-01-15,3.9238918,7.8448467,10.448971,0.0,16.127146
2020-01-16,4.005602,9.470798,11.3656645,0.0,16.005642
2020-01-17,3.9958563,8.816003,10.858455,0.0,15.791509
2020-01-18,4.495878,11.074595,14.920722,0.0,13.267637
2020-01-19,4.483901,10.8007555,14.509305,0.0,13.175003
2020-01-20,4.097245,9.374121,11.210002,0.0,15.294453
2020-01-21,4.0553923,9.809166,11.358903,0.0,15.5843115
2020-01-22,4.0207396,9.586715,11.669156,0.0,16.344465
2020-01-23,4.0394216,9.723013,11.766487,0.0,16.290678
2020-01-24,4.1017084,9.938232,11.635649,0.0,15.705394
2020-01-25,4.453832,11.204897,14.304076,0.0,13.707137
2020-01-26,5.0568514,11.8207855,16.264359,0.0,11.292365
2020-01-27,4.7159343,8.534315,10.492812,0.0,12.628349
2020-01-28,3.9718301,8.949089,11.357216,0.0,17.017515
2020-01-29,4.019871,9.39307,11.530835,0.0,16.712986
2020-01-30,4.0413537,8.272699,10.808611,0.0,16.19259
2020-01-31,4.0158267,8.724987,11.024683,0.0,16.391718
